optimizer;loss;activation_layer_1;activation_layer_2;batch_size;epochs;accuracy;
adagrad;kullback_leibler_divergence;softmax;elu;192;70;0.6950;
adagrad;kullback_leibler_divergence;softmax;selu;192;70;0.6950;
adagrad;kullback_leibler_divergence;softmax;relu;192;70;0.6950;
adagrad;kullback_leibler_divergence;softmax;tanh;192;70;0.6950;
adagrad;poisson;softmax;elu;192;70;0.6950;
adagrad;poisson;softmax;selu;192;70;0.6950;
adagrad;poisson;softmax;relu;192;70;0.6950;
adagrad;poisson;softmax;tanh;192;70;0.6950;
adagrad;poisson;softmax;sigmoid;192;70;0.6950;
adagrad;poisson;softmax;hard_sigmoid;192;70;0.6950;
adagrad;poisson;sigmoid;hard_sigmoid;192;70;0.6950;
adagrad;poisson;hard_sigmoid;sigmoid;192;70;0.6950;
adagrad;poisson;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MSE;softmax;elu;192;70;0.6950;
adadelta;MSE;softmax;selu;192;70;0.6950;
adadelta;MSE;softmax;relu;192;70;0.6950;
adadelta;MSE;softmax;tanh;192;70;0.6950;
adadelta;MSE;softmax;sigmoid;192;70;0.6950;
adadelta;MSE;softmax;hard_sigmoid;192;70;0.6950;
adadelta;MSE;sigmoid;elu;192;70;0.6950;
adadelta;MSE;sigmoid;relu;192;70;0.6950;
adadelta;MSE;sigmoid;sigmoid;192;70;0.6950;
adadelta;MSE;sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MSE;hard_sigmoid;relu;192;70;0.6950;
adadelta;MSE;hard_sigmoid;sigmoid;192;70;0.6950;
adadelta;MSE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MAE;softmax;elu;192;70;0.6950;
adadelta;MAE;softmax;selu;192;70;0.6950;
adadelta;MAE;softmax;relu;192;70;0.6950;
adadelta;MAE;softmax;tanh;192;70;0.6950;
adadelta;MAE;softmax;sigmoid;192;70;0.6950;
adadelta;MAE;softmax;hard_sigmoid;192;70;0.6950;
adadelta;MAE;elu;selu;192;70;0.6950;
adadelta;MAE;elu;tanh;192;70;0.6950;
adadelta;MAE;elu;sigmoid;192;70;0.6950;
adadelta;MAE;elu;hard_sigmoid;192;70;0.6950;
adadelta;MAE;selu;relu;192;70;0.6950;
adadelta;MAE;selu;sigmoid;192;70;0.6950;
adadelta;MAE;selu;hard_sigmoid;192;70;0.6950;
adadelta;MAE;relu;elu;192;70;0.6950;
adadelta;MAE;relu;selu;192;70;0.6950;
adadelta;MAE;relu;relu;192;70;0.6950;
adadelta;MAE;relu;sigmoid;192;70;0.6950;
adadelta;MAE;relu;hard_sigmoid;192;70;0.6950;
adadelta;MAE;tanh;selu;192;70;0.6950;
adadelta;MAE;tanh;relu;192;70;0.6950;
adadelta;MAE;tanh;tanh;192;70;0.6950;
adadelta;MAE;tanh;sigmoid;192;70;0.6950;
adadelta;MAE;tanh;hard_sigmoid;192;70;0.6950;
adadelta;MAE;sigmoid;elu;192;70;0.6950;
adadelta;MAE;sigmoid;selu;192;70;0.6950;
adadelta;MAE;sigmoid;relu;192;70;0.6950;
adadelta;MAE;sigmoid;tanh;192;70;0.6950;
adadelta;MAE;sigmoid;sigmoid;192;70;0.6950;
adadelta;MAE;sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MAE;hard_sigmoid;elu;192;70;0.6950;
adadelta;MAE;hard_sigmoid;selu;192;70;0.6950;
adadelta;MAE;hard_sigmoid;relu;192;70;0.6950;
adadelta;MAE;hard_sigmoid;sigmoid;192;70;0.6950;
adadelta;MAE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;softmax;elu;192;70;0.6950;
adadelta;MAPE;softmax;selu;192;70;0.6950;
adadelta;MAPE;softmax;relu;192;70;0.6950;
adadelta;MAPE;softmax;tanh;192;70;0.6950;
adadelta;MAPE;softmax;sigmoid;192;70;0.6950;
adadelta;MAPE;softmax;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;elu;elu;192;70;0.6950;
adadelta;MAPE;elu;selu;192;70;0.6950;
adadelta;MAPE;elu;relu;192;70;0.6950;
adadelta;MAPE;elu;tanh;192;70;0.6950;
adadelta;MAPE;elu;sigmoid;192;70;0.6950;
adadelta;MAPE;elu;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;selu;elu;192;70;0.6950;
adadelta;MAPE;selu;selu;192;70;0.6950;
adadelta;MAPE;selu;relu;192;70;0.6950;
adadelta;MAPE;selu;tanh;192;70;0.6950;
adadelta;MAPE;selu;sigmoid;192;70;0.6950;
adadelta;MAPE;selu;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;relu;elu;192;70;0.6950;
adadelta;MAPE;relu;selu;192;70;0.6950;
adadelta;MAPE;relu;relu;192;70;0.6950;
adadelta;MAPE;relu;tanh;192;70;0.6950;
adadelta;MAPE;relu;sigmoid;192;70;0.6950;
adadelta;MAPE;relu;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;tanh;elu;192;70;0.6950;
adadelta;MAPE;tanh;selu;192;70;0.6950;
adadelta;MAPE;tanh;relu;192;70;0.6950;
adadelta;MAPE;tanh;tanh;192;70;0.6950;
adadelta;MAPE;tanh;sigmoid;192;70;0.6950;
adadelta;MAPE;tanh;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;sigmoid;elu;192;70;0.6950;
adadelta;MAPE;sigmoid;selu;192;70;0.6950;
adadelta;MAPE;sigmoid;relu;192;70;0.6950;
adadelta;MAPE;sigmoid;tanh;192;70;0.6950;
adadelta;MAPE;sigmoid;sigmoid;192;70;0.6950;
adadelta;MAPE;sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MAPE;hard_sigmoid;elu;192;70;0.6950;
adadelta;MAPE;hard_sigmoid;selu;192;70;0.6950;
adadelta;MAPE;hard_sigmoid;relu;192;70;0.6950;
adadelta;MAPE;hard_sigmoid;tanh;192;70;0.6950;
adadelta;MAPE;hard_sigmoid;sigmoid;192;70;0.6950;
adadelta;MAPE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MSLE;softmax;elu;192;70;0.6950;
adadelta;MSLE;softmax;selu;192;70;0.6950;
adadelta;MSLE;softmax;relu;192;70;0.6950;
adadelta;MSLE;softmax;tanh;192;70;0.6950;
adadelta;MSLE;softmax;sigmoid;192;70;0.6950;
adadelta;MSLE;softmax;hard_sigmoid;192;70;0.6950;
adadelta;MSLE;relu;hard_sigmoid;192;70;0.6950;
adadelta;MSLE;sigmoid;elu;192;70;0.6950;
adadelta;MSLE;sigmoid;relu;192;70;0.6950;
adadelta;MSLE;sigmoid;sigmoid;192;70;0.6950;
adadelta;MSLE;sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;MSLE;hard_sigmoid;elu;192;70;0.6950;
adadelta;MSLE;hard_sigmoid;relu;192;70;0.6950;
adadelta;MSLE;hard_sigmoid;tanh;192;70;0.6950;
adadelta;MSLE;hard_sigmoid;sigmoid;192;70;0.6950;
adadelta;MSLE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;binary_crossentropy;softmax;elu;192;70;0.6950;
adadelta;binary_crossentropy;softmax;selu;192;70;0.6950;
adadelta;binary_crossentropy;softmax;relu;192;70;0.6950;
adadelta;binary_crossentropy;softmax;tanh;192;70;0.6950;
adadelta;binary_crossentropy;softmax;sigmoid;192;70;0.6950;
adadelta;binary_crossentropy;softmax;hard_sigmoid;192;70;0.6950;
adadelta;binary_crossentropy;elu;tanh;192;70;0.6950;
adadelta;binary_crossentropy;sigmoid;elu;192;70;0.6950;
adadelta;binary_crossentropy;sigmoid;sigmoid;192;70;0.6950;
adadelta;binary_crossentropy;sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;binary_crossentropy;hard_sigmoid;elu;192;70;0.6950;
adadelta;binary_crossentropy;hard_sigmoid;selu;192;70;0.6950;
adadelta;binary_crossentropy;hard_sigmoid;relu;192;70;0.6950;
adadelta;binary_crossentropy;hard_sigmoid;sigmoid;192;70;0.6950;
adadelta;binary_crossentropy;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;kullback_leibler_divergence;softmax;tanh;192;70;0.6950;
adadelta;poisson;softmax;elu;192;70;0.6950;
adadelta;poisson;softmax;selu;192;70;0.6950;
adadelta;poisson;softmax;relu;192;70;0.6950;
adadelta;poisson;softmax;sigmoid;192;70;0.6950;
adadelta;poisson;softmax;hard_sigmoid;192;70;0.6950;
adadelta;poisson;sigmoid;sigmoid;192;70;0.6950;
adadelta;poisson;sigmoid;hard_sigmoid;192;70;0.6950;
adadelta;poisson;hard_sigmoid;sigmoid;192;70;0.6950;
adadelta;poisson;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adam;MSE;softmax;elu;192;70;0.6950;
adam;MSE;softmax;selu;192;70;0.6950;
adam;MSE;softmax;relu;192;70;0.6950;
adam;MSE;softmax;tanh;192;70;0.6950;
adam;MSE;softmax;sigmoid;192;70;0.6950;
adam;MSE;softmax;hard_sigmoid;192;70;0.6950;
adam;MSE;sigmoid;sigmoid;192;70;0.6950;
adam;MSE;hard_sigmoid;tanh;192;70;0.6950;
adam;MSE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adam;MAE;softmax;elu;192;70;0.6950;
adam;MAE;softmax;selu;192;70;0.6950;
adam;MAE;softmax;relu;192;70;0.6950;
adam;MAE;softmax;tanh;192;70;0.6950;
adam;MAE;softmax;sigmoid;192;70;0.6950;
adam;MAE;softmax;hard_sigmoid;192;70;0.6950;
adam;MAE;elu;elu;192;70;0.6950;
adam;MAE;elu;relu;192;70;0.6950;
adam;MAE;elu;tanh;192;70;0.6950;
adam;MAE;elu;sigmoid;192;70;0.6950;
adam;MAE;elu;hard_sigmoid;192;70;0.6950;
adam;MAE;selu;sigmoid;192;70;0.6950;
adam;MAE;selu;hard_sigmoid;192;70;0.6950;
adam;MAE;relu;selu;192;70;0.6950;
adam;MAE;relu;tanh;192;70;0.6950;
adam;MAE;relu;sigmoid;192;70;0.6950;
adam;MAE;relu;hard_sigmoid;192;70;0.6950;
adam;MAE;tanh;elu;192;70;0.6950;
adam;MAE;tanh;selu;192;70;0.6950;
adam;MAE;tanh;relu;192;70;0.6950;
adam;MAE;tanh;tanh;192;70;0.6950;
adam;MAE;tanh;sigmoid;192;70;0.6950;
adam;MAE;tanh;hard_sigmoid;192;70;0.6950;
adam;MAE;sigmoid;elu;192;70;0.6950;
adam;MAE;sigmoid;selu;192;70;0.6950;
adam;MAE;sigmoid;relu;192;70;0.6950;
adam;MAE;sigmoid;sigmoid;192;70;0.6950;
adam;MAE;sigmoid;hard_sigmoid;192;70;0.6950;
adam;MAE;hard_sigmoid;selu;192;70;0.6950;
adam;MAE;hard_sigmoid;relu;192;70;0.6950;
adam;MAE;hard_sigmoid;tanh;192;70;0.6950;
adam;MAE;hard_sigmoid;sigmoid;192;70;0.6950;
adam;MAE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adam;MAPE;softmax;elu;192;70;0.6950;
adam;MAPE;softmax;selu;192;70;0.6950;
adam;MAPE;softmax;relu;192;70;0.6950;
adam;MAPE;softmax;tanh;192;70;0.6950;
adam;MAPE;softmax;sigmoid;192;70;0.6950;
adam;MAPE;softmax;hard_sigmoid;192;70;0.6950;
adam;MAPE;elu;elu;192;70;0.6950;
adam;MAPE;elu;selu;192;70;0.6950;
adam;MAPE;elu;relu;192;70;0.6950;
adam;MAPE;elu;tanh;192;70;0.6950;
adam;MAPE;elu;sigmoid;192;70;0.6950;
adam;MAPE;elu;hard_sigmoid;192;70;0.6950;
adam;MAPE;selu;elu;192;70;0.6950;
adam;MAPE;selu;selu;192;70;0.6950;
adam;MAPE;selu;relu;192;70;0.6950;
adam;MAPE;selu;tanh;192;70;0.6950;
adam;MAPE;selu;sigmoid;192;70;0.6950;
adam;MAPE;selu;hard_sigmoid;192;70;0.6950;
adam;MAPE;relu;elu;192;70;0.6950;
adam;MAPE;relu;selu;192;70;0.6950;
adam;MAPE;relu;relu;192;70;0.6950;
adam;MAPE;relu;tanh;192;70;0.6950;
adam;MAPE;relu;sigmoid;192;70;0.6950;
adam;MAPE;relu;hard_sigmoid;192;70;0.6950;
adam;MAPE;tanh;elu;192;70;0.6950;
adam;MAPE;tanh;selu;192;70;0.6950;
adam;MAPE;tanh;relu;192;70;0.6950;
adam;MAPE;tanh;tanh;192;70;0.6950;
adam;MAPE;tanh;sigmoid;192;70;0.6950;
adam;MAPE;tanh;hard_sigmoid;192;70;0.6950;
adam;MAPE;sigmoid;elu;192;70;0.6950;
adam;MAPE;sigmoid;selu;192;70;0.6950;
adam;MAPE;sigmoid;relu;192;70;0.6950;
adam;MAPE;sigmoid;tanh;192;70;0.6950;
adam;MAPE;sigmoid;sigmoid;192;70;0.6950;
adam;MAPE;sigmoid;hard_sigmoid;192;70;0.6950;
adam;MAPE;hard_sigmoid;elu;192;70;0.6950;
adam;MAPE;hard_sigmoid;selu;192;70;0.6950;
adam;MAPE;hard_sigmoid;relu;192;70;0.6950;
adam;MAPE;hard_sigmoid;tanh;192;70;0.6950;
adam;MAPE;hard_sigmoid;sigmoid;192;70;0.6950;
adam;MAPE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adam;MSLE;softmax;elu;192;70;0.6950;
adam;MSLE;softmax;selu;192;70;0.6950;
adam;MSLE;softmax;relu;192;70;0.6950;
adam;MSLE;softmax;tanh;192;70;0.6950;
adam;MSLE;softmax;sigmoid;192;70;0.6950;
adam;MSLE;softmax;hard_sigmoid;192;70;0.6950;
adam;MSLE;sigmoid;relu;192;70;0.6950;
adam;MSLE;sigmoid;sigmoid;192;70;0.6950;
adam;MSLE;sigmoid;hard_sigmoid;192;70;0.6950;
adam;MSLE;hard_sigmoid;elu;192;70;0.6950;
adam;MSLE;hard_sigmoid;relu;192;70;0.6950;
adam;MSLE;hard_sigmoid;sigmoid;192;70;0.6950;
adam;MSLE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adam;binary_crossentropy;softmax;elu;192;70;0.6950;
adam;binary_crossentropy;softmax;selu;192;70;0.6950;
adam;binary_crossentropy;softmax;relu;192;70;0.6950;
adam;binary_crossentropy;softmax;tanh;192;70;0.6950;
adam;binary_crossentropy;softmax;sigmoid;192;70;0.6950;
adam;binary_crossentropy;softmax;hard_sigmoid;192;70;0.6950;
adam;binary_crossentropy;sigmoid;selu;192;70;0.6950;
adam;binary_crossentropy;sigmoid;relu;192;70;0.6950;
adam;binary_crossentropy;sigmoid;hard_sigmoid;192;70;0.6950;
adam;binary_crossentropy;hard_sigmoid;selu;192;70;0.6950;
adam;binary_crossentropy;hard_sigmoid;sigmoid;192;70;0.6950;
adam;binary_crossentropy;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adam;kullback_leibler_divergence;softmax;elu;192;70;0.6950;
adam;kullback_leibler_divergence;softmax;selu;192;70;0.6950;
adam;kullback_leibler_divergence;softmax;relu;192;70;0.6950;
adam;poisson;softmax;elu;192;70;0.6950;
adam;poisson;softmax;selu;192;70;0.6950;
adam;poisson;softmax;relu;192;70;0.6950;
adam;poisson;softmax;tanh;192;70;0.6950;
adam;poisson;softmax;sigmoid;192;70;0.6950;
adam;poisson;softmax;hard_sigmoid;192;70;0.6950;
adam;poisson;sigmoid;hard_sigmoid;192;70;0.6950;
adam;poisson;hard_sigmoid;sigmoid;192;70;0.6950;
adam;poisson;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MSE;softmax;elu;192;70;0.6950;
adamax;MSE;softmax;selu;192;70;0.6950;
adamax;MSE;softmax;relu;192;70;0.6950;
adamax;MSE;softmax;tanh;192;70;0.6950;
adamax;MSE;softmax;sigmoid;192;70;0.6950;
adamax;MSE;softmax;hard_sigmoid;192;70;0.6950;
adamax;MSE;relu;selu;192;70;0.6950;
adamax;MSE;sigmoid;selu;192;70;0.6950;
adamax;MSE;sigmoid;relu;192;70;0.6950;
adamax;MSE;sigmoid;sigmoid;192;70;0.6950;
adamax;MSE;sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MSE;hard_sigmoid;selu;192;70;0.6950;
adamax;MSE;hard_sigmoid;relu;192;70;0.6950;
adamax;MSE;hard_sigmoid;sigmoid;192;70;0.6950;
adamax;MSE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MAE;softmax;elu;192;70;0.6950;
adamax;MAE;softmax;selu;192;70;0.6950;
adamax;MAE;softmax;relu;192;70;0.6950;
adamax;MAE;softmax;tanh;192;70;0.6950;
adamax;MAE;softmax;sigmoid;192;70;0.6950;
adamax;MAE;softmax;hard_sigmoid;192;70;0.6950;
adamax;MAE;elu;relu;192;70;0.6950;
adamax;MAE;elu;sigmoid;192;70;0.6950;
adamax;MAE;elu;hard_sigmoid;192;70;0.6950;
adamax;MAE;selu;relu;192;70;0.6950;
adamax;MAE;selu;sigmoid;192;70;0.6950;
adamax;MAE;selu;hard_sigmoid;192;70;0.6950;
adamax;MAE;relu;relu;192;70;0.6950;
adamax;MAE;relu;tanh;192;70;0.6950;
adamax;MAE;relu;sigmoid;192;70;0.6950;
adamax;MAE;relu;hard_sigmoid;192;70;0.6950;
adamax;MAE;tanh;selu;192;70;0.6950;
adamax;MAE;tanh;relu;192;70;0.6950;
adamax;MAE;tanh;tanh;192;70;0.6950;
adamax;MAE;tanh;sigmoid;192;70;0.6950;
adamax;MAE;tanh;hard_sigmoid;192;70;0.6950;
adamax;MAE;sigmoid;elu;192;70;0.6950;
adamax;MAE;sigmoid;selu;192;70;0.6950;
adamax;MAE;sigmoid;relu;192;70;0.6950;
adamax;MAE;sigmoid;sigmoid;192;70;0.6950;
adamax;MAE;sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MAE;hard_sigmoid;elu;192;70;0.6950;
adamax;MAE;hard_sigmoid;selu;192;70;0.6950;
adamax;MAE;hard_sigmoid;relu;192;70;0.6950;
adamax;MAE;hard_sigmoid;sigmoid;192;70;0.6950;
adamax;MAE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MAPE;softmax;elu;192;70;0.6950;
adamax;MAPE;softmax;selu;192;70;0.6950;
adamax;MAPE;softmax;relu;192;70;0.6950;
adamax;MAPE;softmax;tanh;192;70;0.6950;
adamax;MAPE;softmax;sigmoid;192;70;0.6950;
adamax;MAPE;softmax;hard_sigmoid;192;70;0.6950;
adamax;MAPE;elu;elu;192;70;0.6950;
adamax;MAPE;elu;selu;192;70;0.6950;
adamax;MAPE;elu;relu;192;70;0.6950;
adamax;MAPE;elu;tanh;192;70;0.6950;
adamax;MAPE;elu;sigmoid;192;70;0.6950;
adamax;MAPE;elu;hard_sigmoid;192;70;0.6950;
adamax;MAPE;selu;elu;192;70;0.6950;
adamax;MAPE;selu;selu;192;70;0.6950;
adamax;MAPE;selu;relu;192;70;0.6950;
adamax;MAPE;selu;tanh;192;70;0.6950;
adamax;MAPE;selu;sigmoid;192;70;0.6950;
adamax;MAPE;selu;hard_sigmoid;192;70;0.6950;
adamax;MAPE;relu;elu;192;70;0.6950;
adamax;MAPE;relu;selu;192;70;0.6950;
adamax;MAPE;relu;relu;192;70;0.6950;
adamax;MAPE;relu;tanh;192;70;0.6950;
adamax;MAPE;relu;sigmoid;192;70;0.6950;
adamax;MAPE;relu;hard_sigmoid;192;70;0.6950;
adamax;MAPE;tanh;elu;192;70;0.6950;
adamax;MAPE;tanh;selu;192;70;0.6950;
adamax;MAPE;tanh;relu;192;70;0.6950;
adamax;MAPE;tanh;tanh;192;70;0.6950;
adamax;MAPE;tanh;sigmoid;192;70;0.6950;
adamax;MAPE;tanh;hard_sigmoid;192;70;0.6950;
adamax;MAPE;sigmoid;elu;192;70;0.6950;
adamax;MAPE;sigmoid;selu;192;70;0.6950;
adamax;MAPE;sigmoid;relu;192;70;0.6950;
adamax;MAPE;sigmoid;tanh;192;70;0.6950;
adamax;MAPE;sigmoid;sigmoid;192;70;0.6950;
adamax;MAPE;sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MAPE;hard_sigmoid;elu;192;70;0.6950;
adamax;MAPE;hard_sigmoid;selu;192;70;0.6950;
adamax;MAPE;hard_sigmoid;relu;192;70;0.6950;
adamax;MAPE;hard_sigmoid;tanh;192;70;0.6950;
adamax;MAPE;hard_sigmoid;sigmoid;192;70;0.6950;
adamax;MAPE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MSLE;softmax;elu;192;70;0.6950;
adamax;MSLE;softmax;selu;192;70;0.6950;
adamax;MSLE;softmax;relu;192;70;0.6950;
adamax;MSLE;softmax;tanh;192;70;0.6950;
adamax;MSLE;softmax;sigmoid;192;70;0.6950;
adamax;MSLE;softmax;hard_sigmoid;192;70;0.6950;
adamax;MSLE;selu;relu;192;70;0.6950;
adamax;MSLE;relu;hard_sigmoid;192;70;0.6950;
adamax;MSLE;sigmoid;relu;192;70;0.6950;
adamax;MSLE;sigmoid;sigmoid;192;70;0.6950;
adamax;MSLE;sigmoid;hard_sigmoid;192;70;0.6950;
adamax;MSLE;hard_sigmoid;elu;192;70;0.6950;
adamax;MSLE;hard_sigmoid;relu;192;70;0.6950;
adamax;MSLE;hard_sigmoid;tanh;192;70;0.6950;
adamax;MSLE;hard_sigmoid;sigmoid;192;70;0.6950;
adamax;MSLE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adamax;binary_crossentropy;softmax;elu;192;70;0.6950;
adamax;binary_crossentropy;softmax;selu;192;70;0.6950;
adamax;binary_crossentropy;softmax;relu;192;70;0.6950;
adamax;binary_crossentropy;softmax;tanh;192;70;0.6950;
adamax;binary_crossentropy;softmax;sigmoid;192;70;0.6950;
adamax;binary_crossentropy;softmax;hard_sigmoid;192;70;0.6950;
adamax;binary_crossentropy;sigmoid;elu;192;70;0.6950;
adamax;binary_crossentropy;sigmoid;selu;192;70;0.6950;
adamax;binary_crossentropy;sigmoid;relu;192;70;0.6950;
adamax;binary_crossentropy;sigmoid;sigmoid;192;70;0.6950;
adamax;binary_crossentropy;sigmoid;hard_sigmoid;192;70;0.6950;
adamax;binary_crossentropy;hard_sigmoid;elu;192;70;0.6950;
adamax;binary_crossentropy;hard_sigmoid;selu;192;70;0.6950;
adamax;binary_crossentropy;hard_sigmoid;relu;192;70;0.6950;
adamax;binary_crossentropy;hard_sigmoid;sigmoid;192;70;0.6950;
adamax;binary_crossentropy;hard_sigmoid;hard_sigmoid;192;70;0.6950;
adamax;kullback_leibler_divergence;softmax;elu;192;70;0.6950;
adamax;kullback_leibler_divergence;softmax;selu;192;70;0.6950;
adamax;kullback_leibler_divergence;softmax;relu;192;70;0.6950;
adamax;kullback_leibler_divergence;softmax;tanh;192;70;0.6950;
adamax;kullback_leibler_divergence;sigmoid;relu;192;70;0.6950;
adamax;poisson;softmax;elu;192;70;0.6950;
adamax;poisson;softmax;selu;192;70;0.6950;
adamax;poisson;softmax;relu;192;70;0.6950;
adamax;poisson;softmax;tanh;192;70;0.6950;
adamax;poisson;softmax;sigmoid;192;70;0.6950;
adamax;poisson;softmax;hard_sigmoid;192;70;0.6950;
adamax;poisson;sigmoid;sigmoid;192;70;0.6950;
adamax;poisson;sigmoid;hard_sigmoid;192;70;0.6950;
adamax;poisson;hard_sigmoid;elu;192;70;0.6950;
adamax;poisson;hard_sigmoid;tanh;192;70;0.6950;
adamax;poisson;hard_sigmoid;sigmoid;192;70;0.6950;
adamax;poisson;hard_sigmoid;hard_sigmoid;192;70;0.6950;
nadam;MSE;softmax;sigmoid;192;70;0.6950;
nadam;MSE;softmax;hard_sigmoid;192;70;0.6950;
nadam;MAE;softmax;elu;192;70;0.6950;
nadam;MAE;softmax;selu;192;70;0.6950;
nadam;MAE;softmax;relu;192;70;0.6950;
nadam;MAE;softmax;tanh;192;70;0.6950;
nadam;MAE;softmax;sigmoid;192;70;0.6950;
nadam;MAE;softmax;hard_sigmoid;192;70;0.6950;
nadam;MAE;elu;elu;192;70;0.6950;
nadam;MAE;elu;selu;192;70;0.6950;
nadam;MAE;elu;relu;192;70;0.6950;
nadam;MAE;elu;tanh;192;70;0.6950;
nadam;MAE;elu;sigmoid;192;70;0.6950;
nadam;MAE;elu;hard_sigmoid;192;70;0.6950;
nadam;MAE;selu;elu;192;70;0.6950;
nadam;MAE;selu;selu;192;70;0.6950;
nadam;MAE;selu;relu;192;70;0.6950;
nadam;MAE;selu;tanh;192;70;0.6950;
nadam;MAE;selu;sigmoid;192;70;0.6950;
nadam;MAE;selu;hard_sigmoid;192;70;0.6950;
nadam;MAE;relu;sigmoid;192;70;0.6950;
nadam;MAE;relu;hard_sigmoid;192;70;0.6950;
nadam;MAE;tanh;elu;192;70;0.6950;
nadam;MAE;tanh;selu;192;70;0.6950;
nadam;MAE;tanh;relu;192;70;0.6950;
nadam;MAE;tanh;tanh;192;70;0.6950;
nadam;MAE;tanh;sigmoid;192;70;0.6950;
nadam;MAE;tanh;hard_sigmoid;192;70;0.6950;
nadam;MAE;sigmoid;elu;192;70;0.6950;
nadam;MAE;sigmoid;selu;192;70;0.6950;
nadam;MAE;sigmoid;relu;192;70;0.6950;
nadam;MAE;sigmoid;tanh;192;70;0.6950;
nadam;MAE;sigmoid;sigmoid;192;70;0.6950;
nadam;MAE;sigmoid;hard_sigmoid;192;70;0.6950;
nadam;MAE;hard_sigmoid;elu;192;70;0.6950;
nadam;MAE;hard_sigmoid;selu;192;70;0.6950;
nadam;MAE;hard_sigmoid;relu;192;70;0.6950;
nadam;MAE;hard_sigmoid;tanh;192;70;0.6950;
nadam;MAE;hard_sigmoid;sigmoid;192;70;0.6950;
nadam;MAE;hard_sigmoid;hard_sigmoid;192;70;0.6950;
nadam;MAPE;softmax;elu;192;70;0.6950;
nadam;MAPE;softmax;selu;192;70;0.6950;
nadam;MAPE;softmax;relu;192;70;0.6950;
nadam;MAPE;softmax;tanh;192;70;0.6950;
nadam;MAPE;softmax;sigmoid;192;70;0.6950;
nadam;MAPE;softmax;hard_sigmoid;192;70;0.6950;
nadam;MAPE;elu;elu;192;70;0.6950;
nadam;MAPE;elu;selu;192;70;0.6950;
nadam;MAPE;elu;relu;192;70;0.6950;
nadam;MAPE;elu;tanh;192;70;0.6950;
nadam;MAPE;elu;sigmoid;192;70;0.6950;
nadam;MAPE;elu;hard_sigmoid;192;70;0.6950;
nadam;MAPE;selu;elu;192;70;0.6950;
nadam;MAPE;selu;selu;192;70;0.6950;
nadam;MAPE;selu;relu;192;70;0.6950;
nadam;MAPE;selu;tanh;192;70;0.6950;
nadam;MAPE;selu;sigmoid;192;70;0.6950;
nadam;MAPE;selu;hard_sigmoid;192;70;0.6950;
nadam;MAPE;relu;elu;192;70;0.6950;
nadam;MAPE;relu;selu;192;70;0.6950;
nadam;MAPE;relu;relu;192;70;0.6950;
nadam;MAPE;relu;tanh;192;70;0.6950;
nadam;MAPE;relu;sigmoid;192;70;0.6950;
nadam;MAPE;relu;hard_sigmoid;192;70;0.6950;
nadam;MAPE;tanh;elu;192;70;0.6950;
nadam;MAPE;tanh;selu;192;70;0.6950;
nadam;MAPE;tanh;relu;192;70;0.6950;
nadam;MAPE;tanh;tanh;192;70;0.6950;
nadam;MAPE;tanh;sigmoid;192;70;0.6950;
nadam;MAPE;tanh;hard_sigmoid;192;70;0.6950;
nadam;MAPE;sigmoid;elu;192;70;0.6950;
nadam;MAPE;sigmoid;selu;192;70;0.6950;
nadam;MAPE;sigmoid;relu;192;70;0.6950;
nadam;MAPE;sigmoid;tanh;192;70;0.6950;
nadam;MAPE;sigmoid;sigmoid;192;70;0.6950;
nadam;MAPE;sigmoid;hard_sigmoid;192;70;0.6950;
nadam;MAPE;hard_sigmoid;elu;192;70;0.6950;
nadam;MAPE;hard_sigmoid;selu;192;70;0.6950;
nadam;MAPE;hard_sigmoid;relu;192;70;0.6950;
